Player,Team,Season,Position,Age,Matches_Played,Minutes_Played,Goals,Assists,Overall_Rating
Luiz Lúcio Reis Júnior,Villarreal CF,2025-2026,GK,25-101,28.0,"2,520",0.0,0.0,42.4
Alberto Moleiro,Villarreal CF,2025-2026,MF,22-207,31.0,"2,001",9.0,4.0,67.1
Santiago Mouriño,Villarreal CF,2025-2026,DF,24-071,25.0,"2,107",1.0,2.0,44.0
Santi Comesaña,Villarreal CF,2025-2026,MF,29-202,29.0,"2,069",3.0,5.0,52.7
Renato Veiga,Villarreal CF,2025-2026,DF,22-270,28.0,"2,121",0.0,0.0,41.4
Nicolas Pépé,Villarreal CF,2025-2026,"MF,FW",30-331,31.0,"2,049",6.0,4.0,59.4
Pape Gueye,Villarreal CF,2025-2026,MF,27-091,26.0,"1,850",4.0,2.0,51.8
Pau Navarro,Villarreal CF,2025-2026,DF,21-000,20.0,"1,661",0.0,0.0,42.1
Georges Mikautadze,Villarreal CF,2025-2026,FW,25-176,27.0,"1,774",9.0,5.0,68.8
Tajon Buchanan,Villarreal CF,2025-2026,MF,27-076,30.0,"1,666",6.0,1.0,56.3
Sergi Cardona,Villarreal CF,2025-2026,DF,26-291,26.0,"1,735",1.0,3.0,47.3
Rafa Marín,Villarreal CF,2025-2026,DF,23-341,19.0,"1,619",1.0,0.0,45.2
Alfonso Pedraza,Villarreal CF,2025-2026,DF,30-016,23.0,"1,384",1.0,2.0,45.7
Daniel Parejo,Villarreal CF,2025-2026,MF,37-009,26.0,"1,137",0.0,0.0,42.6
Gerard Moreno,Villarreal CF,2025-2026,FW,34-018,17.0,"1,032",8.0,0.0,60.1
Juan Foyth,Villarreal CF,2025-2026,DF,28-103,13.0,934,0.0,0.0,43.1
Ayoze Pérez,Villarreal CF,2025-2026,FW,32-270,19.0,847,2.0,3.0,43.1
Tani Oluwaseyi,Villarreal CF,2025-2026,FW,25-345,25.0,777,2.0,2.0,43.1
Thomas Partey,Villarreal CF,2025-2026,MF,32-316,20.0,768,0.0,0.0,43.1
Arnau Tenas,Villarreal CF,2025-2026,GK,24-330,4.0,360,0.0,0.0,43.1
Karl Etta Eyong,Villarreal CF,2025-2026,FW,22-193,3.0,256,1.0,2.0,43.1
Alfon,Villarreal CF,2025-2026,MF,26-356,7.0,213,1.0,0.0,43.1
Ilias Akhomach,Villarreal CF,2025-2026,MF,22-009,9.0,188,0.0,0.0,43.1
Yeremi Pino,Villarreal CF,2025-2026,MF,23-187,2.0,159,0.0,1.0,43.1
Manor Solomon,Villarreal CF,2025-2026,MF,26-275,6.0,150,1.0,1.0,43.1
Hugo López,Villarreal CF,2025-2026,MF,19-114,2.0,56,0.0,0.0,43.1
Carlos Macià,Villarreal CF,2025-2026,MF,17-236,4.0,81,0.0,0.0,43.1
Alex Freeman,Villarreal CF,2025-2026,DF,21-259,6.0,76,0.0,0.0,43.1
Adrià Altimira,Villarreal CF,2025-2026,"DF,MF",25-028,1.0,9,0.0,0.0,43.1
Mahamoud Barry,Villarreal CF,2025-2026,FW,19-318,0.0,,,,43.1
Pau Cabanes,Villarreal CF,2025-2026,FW,21-067,0.0,,,,43.1
Diego Conde,Villarreal CF,2025-2026,GK,27-179,0.0,,,,43.1
Alassane Diatta,Villarreal CF,2025-2026,MF,20-346,0.0,,,,43.1
José Ángel Gaitán Diaz,Villarreal CF,2025-2026,FW,19-059,0.0,,,,43.1
Rubén Gómez,Villarreal CF,2025-2026,GK,24-091,0.0,,,,43.1
Willy Kambwala,Villarreal CF,2025-2026,DF,21-243,0.0,,,,43.1
Ismael Sierra,Villarreal CF,2025-2026,DF,23-039,0.0,,,,43.1
Denis Suárez,Villarreal CF,2025-2026,MF,32-109,0.0,,,,43.1
Jean Valou,Villarreal CF,2025-2026,DF,19-124,0.0,,,,43.1
Carlos Vicente,Deportivo Alaves,2024-2025,MF,25,37.0,"3,092",5.0,5.0,55.5
Nahuel Tenaglia,Deportivo Alaves,2024-2025,DF,28,34.0,"2,922",2.0,1.0,45.7
Antonio Sivera,Deportivo Alaves,2024-2025,GK,27,32.0,"2,810",0.0,0.0,41.2
Antonio Blanco,Deportivo Alaves,2024-2025,MF,24,35.0,"2,727",0.0,1.0,41.0
Manu Sánchez,Deportivo Alaves,2024-2025,DF,23,33.0,"2,634",1.0,0.0,43.1
Kiké,Deportivo Alaves,2024-2025,FW,34,35.0,"2,542",13.0,0.0,64.5
Abdel Abqar,Deportivo Alaves,2024-2025,DF,25,29.0,"2,463",0.0,1.0,41.4
Jon Guridi,Deportivo Alaves,2024-2025,MF,29,33.0,"2,080",3.0,1.0,47.8
Ander Guevara,Deportivo Alaves,2024-2025,MF,27,33.0,"1,947",0.0,1.0,43.3
Moussa Diarra,Deportivo Alaves,2024-2025,DF,23,26.0,"1,866",0.0,0.0,42.0
Santiago Mouriño,Deportivo Alaves,2024-2025,DF,22,25.0,"1,849",0.0,1.0,42.5
Carlos Martín,Deportivo Alaves,2024-2025,"MF,FW",22,26.0,"1,333",2.0,2.0,48.0
Joan Jordán,Deportivo Alaves,2024-2025,MF,30,25.0,"1,414",5.0,2.0,51.4
Carles Aleñá,Deportivo Alaves,2024-2025,MF,26,14.0,"1,090",0.0,2.0,44.5
Toni Martínez,Deportivo Alaves,2024-2025,FW,27,28.0,"1,012",4.0,0.0,50.8
Tomás Conechny,Deportivo Alaves,2024-2025,"MF,FW",26,22.0,847,1.0,0.0,43.1
Facundo Garcés,Deportivo Alaves,2024-2025,DF,24,10.0,678,0.0,0.0,43.1
Aleksandar Sedlar,Deportivo Alaves,2024-2025,DF,32,9.0,594,0.0,0.0,43.1
Stoichkov,Deportivo Alaves,2024-2025,"MF,FW",30,16.0,699,0.0,1.0,43.1
Carlos Benavídez,Deportivo Alaves,2024-2025,MF,26,18.0,487,1.0,1.0,43.1
Pica,Deportivo Alaves,2024-2025,DF,22,9.0,499,0.0,0.0,43.1
Jesús Owono,Deportivo Alaves,2024-2025,GK,23,6.0,487,0.0,0.0,43.1
Abde Rebbach,Deportivo Alaves,2024-2025,"MF,FW",25,8.0,385,0.0,0.0,43.1
Asier Villalibre,Deportivo Alaves,2024-2025,FW,26,16.0,333,1.0,1.0,43.1
Hugo Novoa,Deportivo Alaves,2024-2025,"MF,DF",21,5.0,237,0.0,0.0,43.1
Luka Romero,Deportivo Alaves,2024-2025,"MF,FW",19,6.0,199,0.0,0.0,43.1
Pau Cabanes,Deportivo Alaves,2024-2025,MF,19,6.0,188,0.0,0.0,43.1
Adrian Rodriguez,Deportivo Alaves,2024-2025,GK,23,2.0,122,0.0,0.0,43.1
Luis Rioja,Deportivo Alaves,2024-2025,"FW,MF",30,1.0,23,0.0,0.0,43.1
Daouda Doumbia,Deportivo Alaves,2024-2025,MF,22,0.0,,,,43.1
Alejandro Jay Agustín,Deportivo Alaves,2024-2025,MF,22,0.0,,,,43.1
Julen Lartitegi,Deportivo Alaves,2024-2025,FW,20,0.0,,,,43.1
Egoitz Muñoz,Deportivo Alaves,2024-2025,DF,19,0.0,,,,43.1
Eneko Ortiz,Deportivo Alaves,2024-2025,MF,21,0.0,,,,43.1
Joaquín Panichelli,Deportivo Alaves,2024-2025,FW,21,0.0,,,,43.1
Lander Pinillos,Deportivo Alaves,2024-2025,MF,20,0.0,,,,43.1
Grégoire Swiderski,Deportivo Alaves,2024-2025,GK,18,0.0,,,,43.1
Iñaki Williams,Athletic Club,2024-2025,"MF,FW",30,,"2,652",6.0,8.0,60.9
Daniel Vivian,Athletic Club,2024-2025,DF,25,,"2,608",4.0,0.0,50.4
Álex Berenguer,Athletic Club,2024-2025,"MF,FW",29,,"2,339",6.0,7.0,59.4
Mikel Jauregizar,Athletic Club,2024-2025,MF,20,,"2,244",2.0,1.0,46.3
Yuri Berchiche,Athletic Club,2024-2025,DF,34,,"2,044",0.0,2.0,43.7
Nico Williams,Athletic Club,2024-2025,MF,22,,"1,996",5.0,5.0,56.6
Unai Simón,Athletic Club,2024-2025,GK,27,,"1,890",0.0,0.0,43.1
Gorka Guruzeta,Athletic Club,2024-2025,FW,27,,"1,840",7.0,2.0,58.0
Aitor Paredes,Athletic Club,2024-2025,DF,24,,"1,812",3.0,0.0,47.4
Beñat Prados,Athletic Club,2024-2025,MF,23,,"1,715",1.0,0.0,43.7
Yeray Álvarez,Athletic Club,2024-2025,DF,29,,"1,781",1.0,0.0,44.3
Oihan Sancet,Athletic Club,2024-2025,MF,24,,"1,620",15.0,1.0,70.5
Iñigo Ruiz de Galarreta,Athletic Club,2024-2025,MF,30,,"1,477",0.0,4.0,45.3
Óscar de Marcos,Athletic Club,2024-2025,DF,35,,"1,564",0.0,4.0,46.3
Andoni Gorosabel,Athletic Club,2024-2025,DF,27,,"1,485",0.0,2.0,43.7
Unai Gómez,Athletic Club,2024-2025,"MF,FW",21,,"1,284",1.0,3.0,47.2
Julen Agirrezabala,Athletic Club,2024-2025,GK,23,,"1,206",0.0,0.0,42.2
Adama Boiro,Athletic Club,2024-2025,DF,22,,"1,101",0.0,0.0,42.5
Mikel Vesga,Athletic Club,2024-2025,MF,31,,988,0.0,0.0,43.1
Iñigo Lekue,Athletic Club,2024-2025,DF,31,,773,0.0,0.0,43.1
Maroan Sannadi,Athletic Club,2024-2025,FW,23,,754,1.0,1.0,43.1
Álvaro djaló,Athletic Club,2024-2025,"MF,FW",24,,659,1.0,0.0,43.1
Unai Núñez,Athletic Club,2024-2025,DF,27,,645,0.0,0.0,43.1
Alex Padilla,Athletic Club,2024-2025,GK,20,,321,0.0,0.0,43.1
Ander Herrera,Athletic Club,2024-2025,MF,34,,273,0.0,0.0,43.1
Peio Canales,Athletic Club,2024-2025,MF,19,,259,0.0,0.0,43.1
Nicolás Serrano,Athletic Club,2024-2025,MF,21,,112,0.0,0.0,43.1
Aingeru Olabarrieta,Athletic Club,2024-2025,MF,18,,54,0.0,0.0,43.1
Javi Martón,Athletic Club,2024-2025,FW,25,,53,0.0,0.0,43.1
Adu Ares,Athletic Club,2024-2025,MF,22,,19,0.0,0.0,43.1
Endika Buján,Athletic Club,2024-2025,FW,21,,7,0.0,0.0,43.1
Unai Eguíluz,Athletic Club,2024-2025,DF,22,,,,,43.1
Oier Gastesi,Athletic Club,2024-2025,GK,20,,,,,43.1
Ander Izagirre,Athletic Club,2024-2025,DF,21,,,,,43.1
Alejandro Rego,Athletic Club,2024-2025,MF,21,,,,,43.1
Iker Varela,Athletic Club,2024-2025,MF,21,,,,,43.1
Jan Oblak,Atletico Madrid,2024-2025,GK,31,,"3,240",0.0,0.0,43.1
Julián Álvarez,Atletico Madrid,2024-2025,FW,24,,"2,509",17.0,4.0,75.4
Antoine Griezmann,Atletico Madrid,2024-2025,"FW,MF",33,,"2,469",8.0,7.0,63.1
Marcos Llorente,Atletico Madrid,2024-2025,"DF,MF",29,,"2,513",2.0,4.0,49.4
Pablo Barrios,Atletico Madrid,2024-2025,MF,21,,"2,330",1.0,4.0,46.7
Giuliano Simeone,Atletico Madrid,2024-2025,MF,21,,"1,926",2.0,6.0,51.0
Robin Le Normand,Atletico Madrid,2024-2025,DF,27,,"2,151",1.0,0.0,43.5
Rodrigo De Paul,Atletico Madrid,2024-2025,MF,30,,"2,106",3.0,5.0,51.5
Clément Lenglet,Atletico Madrid,2024-2025,DF,29,,"1,972",2.0,1.0,46.1
Javi Galán,Atletico Madrid,2024-2025,DF,29,,"1,784",0.0,3.0,43.9
Samuel Lino,Atletico Madrid,2024-2025,MF,24,,"1,552",3.0,4.0,51.5
José María Giménez,Atletico Madrid,2024-2025,DF,29,,"1,999",0.0,1.0,42.9
Koke,Atletico Madrid,2024-2025,MF,32,,"1,926",1.0,1.0,45.1
Conor Gallagher,Atletico Madrid,2024-2025,MF,24,,"1,633",3.0,3.0,51.0
Nahuel Molina,Atletico Madrid,2024-2025,DF,26,,"1,590",0.0,3.0,45.3
Alexander Sørloth,Atletico Madrid,2024-2025,FW,28,,"1,566",20.0,2.0,82.3
Reinildo Mandava,Atletico Madrid,2024-2025,"DF,MF",30,,941,0.0,0.0,43.1
César Azpilicueta,Atletico Madrid,2024-2025,DF,34,,875,1.0,0.0,43.1
Axel Witsel,Atletico Madrid,2024-2025,DF,35,,852,0.0,1.0,43.1
Rodrigo Riquelme,Atletico Madrid,2024-2025,"MF,DF",24,,516,0.0,1.0,43.1
Ángel Correa,Atletico Madrid,2024-2025,FW,29,,805,4.0,1.0,43.1
Juan Musso,Atletico Madrid,2024-2025,GK,30,,180,0.0,0.0,43.1
Thomas Lemar,Atletico Madrid,2024-2025,MF,28,,85,0.0,0.0,43.1
Adrian Niño,Atletico Madrid,2024-2025,FW,20,,12,0.0,0.0,43.1
Rayane Belaid,Atletico Madrid,2024-2025,DF,19,,,,,43.1
Aitor Gismera,Atletico Madrid,2024-2025,MF,20,,,,,43.1
Antonio Gomis,Atletico Madrid,2024-2025,GK,21,,,,,43.1
Alejandro Iturbe,Atletico Madrid,2024-2025,GK,20,,,,,43.1
Omar Janneh,Atletico Madrid,2024-2025,FW,17,,,,,43.1
Ilias Kostis,Atletico Madrid,2024-2025,DF,21,,,,,43.1
Horaţiu Moldovan,Atletico Madrid,2024-2025,GK,26,,,,,43.1
Javier Serrano,Atletico Madrid,2024-2025,MF,21,,,,,43.1
Gerónimo Spina,Atletico Madrid,2024-2025,DF,19,,,,,43.1
Arthur Vermeeren,Atletico Madrid,2024-2025,MF,19,,,,,43.1
Diego Llorente,Real Betis,2024-2025,DF,30,,"2,519",2.0,0.0,46.3
Johnny Cardoso,Real Betis,2024-2025,MF,22,,"2,144",3.0,1.0,49.0
Natan,Real Betis,2024-2025,DF,23,,"2,175",1.0,1.0,44.1
Marc Bartra,Real Betis,2024-2025,DF,33,,"2,099",2.0,1.0,47.4
Abde Ezzalzouli,Real Betis,2024-2025,MF,22,,"1,984",2.0,2.0,48.2
Romain Perraud,Real Betis,2024-2025,DF,26,,"2,002",2.0,2.0,46.3
Sergi Altimira,Real Betis,2024-2025,MF,22,,"1,972",0.0,1.0,43.1
Pablo Fornals,Real Betis,2024-2025,MF,28,,"1,827",2.0,0.0,46.7
Youssouf Sabaly,Real Betis,2024-2025,DF,31,,"1,581",0.0,1.0,43.7
Adrián,Real Betis,2024-2025,GK,37,,"1,710",0.0,0.0,42.5
Isco,Real Betis,2024-2025,MF,32,,"1,547",9.0,8.0,62.1
Giovani Lo Celso,Real Betis,2024-2025,MF,28,,"1,457",8.0,3.0,58.8
Antony,Real Betis,2024-2025,MF,24,,"1,362",5.0,2.0,53.3
Rui Silva,Real Betis,2024-2025,GK,30,,"1,350",0.0,0.0,42.9
Ricardo Rodríguez,Real Betis,2024-2025,DF,31,,"1,274",0.0,1.0,43.9
Jesus Rodríguez,Real Betis,2024-2025,MF,18,,"1,111",2.0,0.0,47.0
Vitor Roque,Real Betis,2024-2025,FW,19,,"1,235",4.0,0.0,50.2
Cucho,Real Betis,2024-2025,FW,25,,"1,139",5.0,1.0,53.7
Aitor Ruibal,Real Betis,2024-2025,"DF,FW",28,,"1,313",1.0,3.0,46.5
Marc Roca,Real Betis,2024-2025,MF,27,,906,2.0,2.0,43.1
Cédric Bakambu,Real Betis,2024-2025,FW,33,,710,2.0,2.0,43.1
Ezequiel Ávila,Real Betis,2024-2025,"MF,FW",30,,677,2.0,0.0,43.1
Héctor Bellerín,Real Betis,2024-2025,DF,29,,580,0.0,2.0,43.1
William Carvalho,Real Betis,2024-2025,MF,32,,484,0.0,0.0,43.1
Fran Vieites,Real Betis,2024-2025,GK,25,,360,0.0,0.0,43.1
Ángel Ortíz,Real Betis,2024-2025,DF,20,,353,0.0,1.0,43.1
Iker Losada,Real Betis,2024-2025,MF,22,,336,0.0,0.0,43.1
Assane Diao,Real Betis,2024-2025,FW,18,,277,1.0,2.0,43.1
Juanmi,Real Betis,2024-2025,MF,31,,244,0.0,0.0,43.1
Nabil Fekir,Real Betis,2024-2025,MF,31,,180,0.0,1.0,43.1
Carlos Guirao,Real Betis,2024-2025,MF,21,,110,0.0,0.0,43.1
Mateo Flores,Real Betis,2024-2025,MF,20,,153,0.0,0.0,43.1
Rodri,Real Betis,2024-2025,MF,24,,118,0.0,0.0,43.1
Nobel Mendy,Real Betis,2024-2025,DF,19,,108,0.0,0.0,43.1
Sergio Arribas,Real Betis,2024-2025,DF,21,,90,0.0,0.0,43.1
Pablo Garcia,Real Betis,2024-2025,FW,18,,38,0.0,0.0,43.1
Alcázar,Real Betis,2024-2025,DF,22,,,,,43.1
Pablo Busto,Real Betis,2024-2025,DF,18,,,,,43.1
Guilherme Fernandes,Real Betis,2024-2025,GK,23,,,,,43.1
Marcos Fernández,Real Betis,2024-2025,FW,21,,,,,43.1
Germán García,Real Betis,2024-2025,GK,20,,,,,43.1
Manu González,Real Betis,2024-2025,GK,17,,,,,43.1
Rudy Kohon,Real Betis,2024-2025,DF,20,,,,,43.1
Xavi Pleguezuelo,Real Betis,2024-2025,DF,21,,,,,43.1
Pedri,FC Barcelona,2024-2025,MF,21,37.0,"2,879",4.0,5.0,54.3
Raphinha,FC Barcelona,2024-2025,"MF,FW",27,36.0,"2,839",18.0,9.0,83.1
Robert Lewandowski,FC Barcelona,2024-2025,FW,35,34.0,"2,667",27.0,2.0,95.0
Lamine Yamal,FC Barcelona,2024-2025,"MF,FW",17,35.0,"2,856",9.0,13.0,70.3
Pau Cubarsí,FC Barcelona,2024-2025,DF,17,35.0,"2,618",0.0,3.0,44.9
Jules Koundé,FC Barcelona,2024-2025,DF,25,32.0,"2,605",2.0,3.0,48.6
Iñigo Martínez,FC Barcelona,2024-2025,DF,33,28.0,"2,490",0.0,4.0,45.3
Alejandro Balde,FC Barcelona,2024-2025,DF,20,32.0,"2,284",0.0,4.0,45.9
Marc Casado,FC Barcelona,2024-2025,MF,20,23.0,"1,611",1.0,3.0,45.9
Iñaki Peña,FC Barcelona,2024-2025,GK,25,16.0,"1,396",0.0,0.0,42.9
Wojciech Szczęsny,FC Barcelona,2024-2025,GK,34,15.0,"1,350",0.0,0.0,43.1
Eric García,FC Barcelona,2024-2025,"DF,MF",23,29.0,"1,566",2.0,3.0,48.6
Gavi,FC Barcelona,2024-2025,MF,19,26.0,"1,085",1.0,1.0,45.1
Dani Olmo,FC Barcelona,2024-2025,MF,26,25.0,"1,212",10.0,3.0,63.3
Fermin López,FC Barcelona,2024-2025,MF,21,28.0,"1,252",6.0,5.0,57.2
Ferrán Torres,FC Barcelona,2024-2025,"FW,MF",24,27.0,"1,106",10.0,6.0,66.4
Gerard Martín,FC Barcelona,2024-2025,DF,22,28.0,"1,038",1.0,3.0,47.0
Ronald Araújo,FC Barcelona,2024-2025,DF,25,12.0,754,1.0,1.0,43.1
Frenkie de Jong,FC Barcelona,2024-2025,MF,27,26.0,"1,143",2.0,2.0,48.0
Marc-André ter Stegen,FC Barcelona,2024-2025,GK,32,8.0,674,0.0,0.0,43.1
Héctor Fort,FC Barcelona,2024-2025,DF,17,17.0,585,0.0,0.0,43.1
Pablo Torre,FC Barcelona,2024-2025,MF,21,10.0,310,3.0,1.0,43.2
Marc Bernal,FC Barcelona,2024-2025,MF,17,3.0,242,0.0,0.0,43.1
Ansu Fati,FC Barcelona,2024-2025,MF,21,6.0,233,0.0,0.0,43.1
Pau Victor,FC Barcelona,2024-2025,FW,22,21.0,319,2.0,1.0,43.1
Andreas Christensen,FC Barcelona,2024-2025,DF,28,5.0,254,0.0,0.0,43.1
Sergi Dominguez,FC Barcelona,2024-2025,DF,19,3.0,172,0.0,0.0,43.1
Daniel Rodriguez,FC Barcelona,2024-2025,MF,18,1.0,37,0.0,0.0,43.1
Ander Astralaga,FC Barcelona,2024-2025,GK,20,0.0,,,,43.1
Álvaro Cortés,FC Barcelona,2024-2025,DF,19,0.0,,,,43.1
Andres Cuenca,FC Barcelona,2024-2025,DF,17,0.0,,,,43.1
Noah Darvich,FC Barcelona,2024-2025,MF,17,0.0,,,,43.1
Landry Farré,FC Barcelona,2024-2025,DF,17,0.0,,,,43.1
Guillermo Fernandez,FC Barcelona,2024-2025,MF,16,0.0,,,,43.1
Toni Fernández,FC Barcelona,2024-2025,MF,16,0.0,,,,43.1
Diego Kochen,FC Barcelona,2024-2025,GK,18,0.0,,,,43.1
Alexis Olmedo,FC Barcelona,2024-2025,DF,18,0.0,,,,43.1
Álex Valle,FC Barcelona,2024-2025,DF,20,0.0,,,,43.1
Áron Yaakobishvili,FC Barcelona,2024-2025,GK,18,0.0,,,,43.1
Vicente Guaita,Celta Vigo,2024-2025,GK,37,,"3,060",0.0,0.0,43.1
Óscar Mingueza,Celta Vigo,2024-2025,"MF,DF",25,,"2,729",4.0,6.0,53.7
Marcos Alonso,Celta Vigo,2024-2025,DF,33,,"2,647",3.0,0.0,43.1
Fran Beltrán,Celta Vigo,2024-2025,MF,25,,"2,421",2.0,1.0,47.2
Javi Rodríguez,Celta Vigo,2024-2025,DF,21,,"2,514",3.0,2.0,49.2
Carl Starfelt,Celta Vigo,2024-2025,DF,29,,"2,270",1.0,0.0,44.1
Borja Iglesias,Celta Vigo,2024-2025,FW,31,,"1,952",11.0,3.0,66.6
Ilaix Moriba,Celta Vigo,2024-2025,MF,21,,"2,132",1.0,1.0,43.3
Iago Aspas,Celta Vigo,2024-2025,"FW,MF",36,,"1,745",10.0,5.0,60.7
Sergio Carreira,Celta Vigo,2024-2025,MF,23,,"1,656",0.0,4.0,46.1
Hugo Álvarez,Celta Vigo,2024-2025,MF,21,,"1,572",4.0,3.0,52.1
Pablo Durán,Celta Vigo,2024-2025,"FW,MF",23,,"1,394",4.0,4.0,53.5
Williot Swedberg,Celta Vigo,2024-2025,"FW,MF",20,,"1,348",4.0,5.0,54.7
Hugo Sotelo,Celta Vigo,2024-2025,MF,20,,"1,254",0.0,0.0,42.2
Alfon,Celta Vigo,2024-2025,"FW,MF",25,,"1,371",5.0,2.0,53.5
